,Player,Span,Matches,Innings,NO,Runs,HS,AVG,Balls Faced,Strike Rate,100,50,0,4's,6's
272,Aizaz Khan (HKG),2014-2020,39,34,8,364,44,14.00,336,108.33,0,0,4,26,6
273,PJ Moor (ZIM),2016-2019,21,19,4,364,92*,24.26,286,127.27,0,1,0,22,24
274,Mohamed Rishwan (Mald),2019-2021,18,17,0,363,67,21.35,354,102.54,0,3,0,29,18
275,Nasir Jamshed (PAK),2012-2013,18,18,1,363,56,21.35,320,113.43,0,2,1,34,12
276,L Ronchi (AUS/ICC/NZ),2008-2018,33,26,6,359,51*,17.95,256,140.23,0,1,5,30,14
277,CJ Jordan (ENG),2014-2022,75,43,19,358,36,14.91,271,132.10,0,0,3,24,18
278,MJ Santner (NZ),2015-2021,62,43,19,358,37,14.91,290,123.44,0,0,4,25,11
279,RB Patel (UGA),2021-2021,19,16,5,357,68*,32.45,320,111.56,0,2,2,35,5
280,L Bruce (GIBR),2021-2021,9,9,1,356,73,44.50,285,124.91,0,5,0,27,3
281,Anamul Haque (BAN),2012-2015,13,13,2,355,58,32.27,301,117.94,0,1,1,38,12
282,MC Henriques (AUS),2009-2021,24,21,4,355,62*,20.88,285,124.56,0,2,0,17,15
283,TC Barker (LUX),2019-2021,12,12,0,352,78,29.33,288,122.22,0,2,0,32,5
284,R Mutumbami (ZIM),2015-2021,27,24,4,351,54,17.55,298,117.78,0,1,2,22,17
285,SA Yadav (INDIA),2021-2022,14,12,3,351,65,39.00,212,165.56,0,4,1,32,20
286,Aarif Sheikh (NEPAL),2018-2022,27,21,4,350,39*,20.58,333,105.10,0,0,1,30,6
287,OA Shah (ENG),2007-2009,17,15,1,347,55*,24.78,284,122.18,0,1,0,26,13
288,MJ Richardson (GER),2019-2022,16,16,5,346,61*,31.45,336,102.97,0,2,0,33,3
289,L Siaka (PNG),2015-2022,34,30,2,346,39,12.35,332,104.21,0,0,6,32,8
290,PWH de Silva (SL),2019-2022,35,29,6,345,71,15.00,286,120.62,0,1,3,35,2
291,TM Head (AUS),2016-2022,17,16,3,345,48*,26.53,259,133.20,0,0,0,22,11
292,SO Tikolo (KENYA),2007-2013,15,15,3,345,56*,28.75,281,122.77,0,2,3,46,6
293,S Chanderpaul (WI),2006-2010,22,22,5,343,41,20.17,347,98.84,0,0,0,34,5
294,J Mees (LUX),2019-2021,16,15,3,343,67*,28.58,267,128.46,0,2,2,37,9
295,Imad Wasim (PAK),2015-2021,58,37,11,339,47,13.03,236,143.64,0,0,6,35,8
296,D Wiese (NAM/SA),2013-2021,31,22,7,339,66*,22.60,270,125.55,0,1,2,20,14
297,Faisal Khan (Saudi),2019-2021,11,11,1,337,83*,33.70,185,182.16,0,1,1,38,20
298,H Gori (CZK-R),2019-2020,11,11,0,337,66,30.63,255,132.15,0,1,1,36,17
299,A Symonds (AUS),2005-2009,14,11,4,337,85*,48.14,199,169.34,0,2,2,33,10
300,WIA Fernando (SL),2019-2022,32,30,2,336,37,12.00,355,94.64,0,0,4,26,7
301,N Davin (NAM),2019-2019,16,16,1,335,54,22.33,216,155.09,0,1,1,33,15
302,SR Taylor (USA),2019-2021,14,11,2,335,72,37.22,246,136.17,0,2,1,36,14
303,BA Pai (GIBR),2019-2021,9,9,1,334,107*,41.75,269,124.16,1,2,0,25,7
304,Karim Janat (AFG),2016-2022,34,22,3,333,53,17.52,286,116.43,0,1,2,25,15
305,Adnan Idrees (KUW),2019-2021,10,10,0,332,80,33.20,209,158.85,0,3,0,44,12
306,HS Gericke (MLT),2020-2021,12,11,0,332,91,30.18,196,169.38,0,3,0,30,14
307,J Butler (GUE),2019-2022,14,13,2,331,65*,30.09,336,98.51,0,1,0,36,2
308,Faisal Javed (QAT),2019-2019,15,15,0,330,61,22.00,212,155.66,0,2,1,45,11
309,V Vijh (LUX),2019-2021,16,16,3,330,64*,25.38,337,97.92,0,1,0,28,6
310,SR Thompson (IRE),2014-2019,41,30,8,328,56,14.90,254,129.13,0,1,1,23,14
311,T Banton (ENG),2019-2022,14,14,0,327,73,23.35,221,147.96,0,2,0,29,17
312,AC Douglas (BMUDA),2019-2021,16,15,1,327,74,23.35,236,138.55,0,2,1,33,19
313,RJ Nicol (NZ),2010-2013,21,19,0,327,58,17.21,296,110.47,0,2,2,33,11
314,RR Rossouw (SA),2014-2016,15,14,3,327,78,29.72,237,137.97,0,2,2,29,12
315,RA Jadeja (INDIA),2009-2022,58,29,14,326,45*,21.73,262,124.42,0,0,2,25,8
316,S Vesawkar (NEPAL),2014-2022,20,19,5,325,40,23.21,328,99.08,0,0,0,26,7
317,Hamza Tariq (CAN),2013-2022,26,20,9,324,63*,29.45,201,161.19,0,3,2,27,14
318,LE Bosman (SA),2006-2010,14,14,1,323,94,24.84,219,147.48,0,3,2,27,20
319,TWM Latham (NZ),2012-2021,18,15,2,322,65*,24.76,303,106.27,0,2,0,22,5
320,Anshuman Rath (HKG),2015-2017,20,19,2,321,44,18.88,344,93.31,0,0,1,31,2
321,PBB Rajapaksa (SL),2019-2021,18,15,3,320,77,26.66,235,136.17,0,2,2,25,18
322,B Bhandari (NEPAL),2014-2021,35,27,7,319,58*,15.95,292,109.24,0,2,1,24,12
323,M Taylor (Bhm),2021-2022,11,11,0,319,67,29.00,271,117.71,0,3,1,26,18
324,Bakhtiar Tahiri (BUL),2020-2021,12,11,1,317,66,31.70,271,116.97,0,1,0,31,15
325,KS Leverock (BMUDA),2019-2021,18,18,3,317,54,21.13,243,130.45,0,1,4,22,18
326,Zaheer Ibrahim (QAT),2019-2021,24,22,5,317,50,18.64,280,113.21,0,1,3,35,8
327,BDH Stevens (JER),2019-2019,17,17,1,316,44,19.75,315,100.31,0,0,1,30,6
328,NJ Ferraby (JER),2019-2021,18,18,1,314,81*,18.47,284,110.56,0,1,3,39,2
329,Manpreet Singh (SGP),2019-2020,15,14,2,312,42*,26.00,267,116.85,0,0,0,21,6
330,N Nipiko (VAN),2019-2019,14,14,2,312,62,26.00,297,105.05,0,2,1,16,13
331,Sami Sohail (MWI),2019-2021,13,11,7,312,84*,78.00,272,114.70,0,2,1,23,5
332,Shaheryar Butt (Belg),2019-2021,11,10,3,311,125*,44.42,191,162.82,1,1,1,22,21
333,CR Brathwaite (WI),2011-2019,41,27,6,310,37*,14.76,274,113.13,0,0,3,13,22
334,B Ward (JER),2019-2021,19,17,5,310,58*,25.83,253,122.52,0,1,1,15,19
335,JJ Atkinson (HKG),2014-2020,17,16,2,309,53,22.07,277,111.55,0,2,3,31,9
336,ML Hayden (AUS),2005-2007,9,9,3,308,73*,51.33,214,143.92,0,4,0,37,13
337,Waqas Barkat (HKG),2014-2020,30,25,3,307,37,13.95,333,92.19,0,0,3,25,0
338,Razmal Shigiwal (Aut),2019-2021,12,10,2,306,70,38.25,224,136.60,0,3,0,18,15
339,SD Hope (WI),2017-2022,19,17,0,304,55,17.88,251,121.11,0,2,1,32,10
340,II Selemani (TAN),2021-2021,10,10,1,302,81,33.55,183,165.02,0,2,1,36,16
341,CN Ackermann (NED),2019-2021,14,14,3,300,43*,27.27,253,118.57,0,0,0,21,7
342,XM Marshall (USA/WI),2008-2021,20,18,1,300,47*,17.64,290,103.44,0,0,2,26,9
343,NL McCullum (NZ),2007-2016,63,41,15,299,36*,11.50,297,100.67,0,0,4,19,8
344,RR Sarwan (WI),2007-2010,18,16,3,298,59,22.92,286,104.19,0,2,1,19,6
345,Awais Ahmed (ESP),2019-2022,18,13,2,297,102*,27.00,258,115.11,1,0,2,24,11
346,BBJL Perera (ITA),2019-2021,14,12,2,297,67,29.70,258,115.11,0,1,0,30,8
347,H Patel (CAN),2010-2021,15,15,1,294,88*,21.00,285,103.15,0,2,2,28,3
348,CA Lynn (AUS),2014-2018,18,16,1,291,44,19.40,221,131.67,0,0,1,28,14
349,SSM Stanislaus (MLT),2020-2021,21,18,4,291,42*,20.78,278,104.67,0,0,0,20,11
350,HDRL Thirimanne (SL),2012-2016,26,20,2,291,44,16.16,267,108.98,0,0,1,27,5
351,Haroon Arshad (HKG),2019-2020,17,15,4,289,68,26.27,213,135.68,0,1,0,22,9
352,Ishan Kishan (INDIA),2021-2022,10,10,1,289,89,32.11,238,121.42,0,2,0,34,8
353,AN Kervezee (NED),2009-2012,10,10,1,289,58*,32.11,262,110.30,0,2,0,19,6
354,Amoluk Singh (Ghana),2021-2021,10,10,2,289,80*,36.12,223,129.59,0,2,1,43,7
355,Simi Singh (IRE),2018-2022,47,37,10,289,57*,10.70,264,109.46,0,1,6,17,8
356,HAM Shah (DEN),2019-2021,12,11,0,286,66,26.00,268,106.71,0,1,0,31,3
357,LS Livingstone (ENG),2017-2022,17,13,1,285,103,23.75,180,158.33,1,0,1,14,20
358,A Bagai (CAN),2008-2013,9,9,2,284,67*,40.57,249,114.05,0,2,0,27,0
359,Mohammad Shahzad (UAE),2015-2017,20,20,2,281,52,15.61,239,117.57,0,1,2,25,11
360,Aminuddin Ramly (MAL),2019-2021,23,21,4,280,41,16.47,189,148.14,0,0,1,13,20
361,TC Bruce (NZ),2017-2020,17,17,2,279,59*,18.60,228,122.36,0,2,2,24,7
362,AC Agar (AUS),2016-2022,43,27,5,277,29,12.59,272,101.83,0,0,3,19,9
363,Azhar Andani (PORT),2021-2021,4,4,0,276,100,69.00,179,154.18,1,1,0,27,6
364,Karan KC (NEPAL),2015-2022,38,23,6,276,45,16.23,171,161.40,0,0,2,14,23
365,Taranjeet Singh (ROM),2021-2021,8,8,1,276,91,39.42,141,195.74,0,3,1,38,12
366,SC Getkate (IRE),2019-2022,30,26,3,275,30,11.95,246,111.78,0,0,1,10,15
367,S Muniandy (MAL),2019-2022,32,27,9,275,28,15.27,208,132.21,0,0,3,19,14
368,Shadab Khan (PAK),2017-2021,64,26,11,275,42,18.33,201,136.81,0,0,3,15,17
369,TAM Siriwardana (SL),2015-2017,22,19,3,275,42,17.18,208,132.21,0,0,4,16,12
370,HL Carlyon (JER),2019-2021,15,14,0,274,50,19.57,253,108.30,0,2,2,31,6
371,Sohaib Maqsood (PAK),2013-2021,26,22,2,273,37,13.65,234,116.66,0,0,2,20,11
372,AC Gilchrist (AUS),2005-2008,13,13,1,272,48,22.66,192,141.66,0,0,0,27,13
373,Amjad Javed (UAE),2014-2017,22,18,3,271,76,18.06,242,111.98,0,1,1,17,15
374,Iftikhar Ahmed (PAK),2016-2022,18,16,7,271,62*,30.11,202,134.15,0,1,0,22,8
375,BR McDermott (AUS),2018-2022,23,21,4,269,53,15.82,285,94.38,0,1,3,16,8
376,MV Boucher (SA),2005-2010,25,21,6,268,36*,17.86,275,97.45,0,0,0,22,2
377,S Periyalwar (ROM),2019-2021,14,11,5,268,105*,44.66,200,134.00,1,1,1,33,7
378,FA Allen (WI),2018-2022,34,24,8,267,34,16.68,195,136.92,0,0,4,15,21
379,Ahmed Hassan (Mald),2019-2021,15,14,0,266,53,19.00,289,92.04,0,1,0,25,4
380,NG Collins (Fin),2019-2021,9,9,1,265,64*,33.12,253,104.74,0,3,0,24,2
381,PK Matautaava (VAN),2019-2019,10,10,0,265,103,26.50,156,169.87,1,1,2,19,20
382,KC D'Souza (BUL),2020-2021,19,17,5,264,31,22.00,188,140.42,0,0,2,22,13
383,JO Holder (WI),2014-2022,37,24,8,264,36,16.50,218,121.10,0,0,2,14,16
384,Muhammad Kashif (KUW),2019-2021,17,14,4,264,53,26.40,251,105.17,0,2,1,15,14
385,Zeeshan Kukikhel (HUN),2021-2021,4,4,0,263,82,65.75,150,175.33,0,3,0,37,10
386,Shahid Wasif (HKG),2016-2020,18,17,4,261,50,20.07,233,112.01,0,1,1,20,8
387,Bilal Zalmai (Aut),2019-2021,8,7,1,259,111*,43.16,148,175.00,1,0,0,23,16
388,Faheem Ashraf (PAK),2017-2021,42,29,7,259,31,11.77,202,128.21,0,0,4,15,15
389,T Taibu (ZIM),2007-2012,17,15,6,259,45*,28.77,257,100.77,0,0,2,19,2
390,Adnan Ilyas (OMA),2015-2016,12,11,0,258,54,23.45,218,118.34,0,1,0,16,8
391,Najeeb Tarakai (AFG),2014-2019,12,12,0,258,90,21.50,210,122.85,0,1,1,21,13
392,Khurram Nawaz (OMA),2017-2022,24,18,5,257,58,19.76,215,119.53,0,1,1,17,12
393,MR Adair (IRE),2019-2022,39,29,8,256,38,12.19,229,111.79,0,0,2,13,10
394,I Udana (SL),2009-2021,35,25,11,256,84*,18.28,186,137.63,0,1,3,16,14
395,SE Marsh (AUS),2008-2016,15,15,1,255,47*,18.21,248,102.82,0,0,2,15,10
396,O Tuyisenge (RWN),2021-2021,11,11,2,255,100*,28.33,180,141.66,1,0,0,29,5
397,K Nassoro (TAN),2021-2021,10,10,5,254,59*,50.80,186,136.55,0,1,0,20,9
398,SF Mire (ZIM),2018-2019,9,8,0,253,94,31.62,196,129.08,0,2,0,23,13
399,D Muhumuza (UGA),2019-2022,27,18,7,250,59*,22.72,227,110.13,0,1,1,21,10
400,DT Johnston (IRE),2008-2013,30,19,7,249,62,20.75,184,135.32,0,1,1,13,11
401,TG Southee (NZ),2008-2021,92,36,14,249,39,11.31,175,142.28,0,0,4,16,16
402,RV Uthappa (INDIA),2007-2015,13,12,2,249,50,24.90,211,118.00,0,1,1,26,6
403,R Bakum (Ghana),2019-2021,15,14,1,245,66,18.84,186,131.72,0,2,3,19,15
404,IO Okpe (NGA),2019-2021,20,18,1,244,36,14.35,255,95.68,0,0,1,7,9
405,A Ashokan (CZK-R),2019-2021,13,13,2,243,55*,22.09,223,108.96,0,2,0,13,9
406,DG Blampied (JER),2019-2021,23,19,8,243,43*,22.09,246,98.78,0,0,1,14,0
407,CJ Delany (GIBR),2019-2021,13,13,3,243,69*,24.30,224,108.48,0,2,1,26,1
408,Shafiq Sharif (MAL),2019-2021,13,13,1,243,53,20.25,190,127.89,0,1,3,33,6
409,Umar Adam (Mald),2019-2021,18,17,1,242,53,15.12,209,115.78,0,1,2,23,7
410,GSNFG Jayasuriya (SL),2015-2020,18,16,0,241,40,15.06,222,108.55,0,0,1,20,8
411,UT Khawaja (AUS),2016-2016,9,9,0,241,58,26.77,182,132.41,0,1,0,31,5
412,JN Malan (SA),2019-2021,11,11,0,241,55,21.90,186,129.56,0,1,1,25,11
413,T Whiteman (LUX),2019-2021,14,12,5,241,55*,34.42,205,117.56,0,1,1,25,6
414,K Motlhanka (BOT),2019-2021,11,10,0,240,74,24.00,219,109.58,0,2,0,23,7
415,SW Poynter (IRE),2015-2019,25,21,6,240,39,16.00,213,112.67,0,0,0,22,6
416,Ashfaq Ahmed (UAE),2018-2019,12,12,0,238,75,19.83,185,128.64,0,3,2,32,6
417,J Mubarak (SL),2007-2009,16,15,4,238,46*,21.63,188,126.59,0,0,2,21,8
418,K Dasan (BUL),2019-2020,10,9,1,237,74,29.62,222,106.75,0,1,0,19,4
419,Khalid Latif (PAK),2008-2016,13,13,2,237,59*,21.54,229,103.49,0,1,1,25,6
420,Nurul Hasan (BAN),2016-2021,30,26,7,237,30*,12.47,211,112.32,0,0,3,18,4
421,JK Vifah (Ghana),2019-2021,14,14,1,237,50,18.23,205,115.60,0,1,0,24,6
422,RE Levi (SA),2012-2012,13,13,2,236,117*,21.45,167,141.31,1,1,3,20,15
423,YK Pathan (INDIA),2007-2012,22,18,5,236,37*,18.15,161,146.58,0,0,3,11,17
424,Talha Khan (GER),2019-2022,16,16,3,235,51*,18.07,259,90.73,0,1,3,21,3
425,AT Carey (AUS),2018-2021,38,26,5,233,37*,11.09,215,108.37,0,0,2,19,7
426,Muhammad Younis (BHR),2020-2022,11,11,1,233,82*,23.30,167,139.52,0,1,2,24,11
427,ES Szwarczynski (NED),2008-2013,14,12,1,233,45,21.18,243,95.88,0,0,0,22,2
428,E Niyomugabo (RWN),2021-2021,11,11,1,232,61,23.20,191,121.46,0,2,0,16,8
429,R Panchal (ESP),2019-2022,17,14,4,232,71*,23.20,247,93.92,0,1,1,9,7
430,JF Mooney (IRE),2009-2015,27,23,9,231,31*,16.50,214,107.94,0,0,0,25,1
431,AR Cusack (IRE),2008-2015,37,21,6,229,65,15.26,177,129.37,0,1,1,17,6
432,G Manan (ROM),2019-2021,14,13,0,229,40,17.61,145,157.93,0,0,2,27,13
433,Aftab Ahmed (BAN),2006-2010,11,11,1,228,62*,22.80,178,128.08,0,1,0,26,6
434,BFW de Leede (NED),2018-2021,16,13,2,228,81*,20.72,224,101.78,0,1,2,15,9
435,T Mishra (KENYA),2007-2013,15,15,0,227,38,15.13,263,86.31,0,0,2,15,4
436,C Bisson (JER),2019-2019,14,14,2,226,54,18.83,177,127.68,0,1,3,24,5
437,SO Ngoche (KENYA),2010-2021,41,26,9,226,41*,13.29,212,106.60,0,0,2,22,5
438,DAS Gunaratne (SL),2016-2017,12,12,3,225,84*,25.00,178,126.40,0,2,2,19,6
439,Inam-ul-Haq (QAT),2019-2019,11,11,2,225,73*,25.00,205,109.75,0,1,1,28,2
440,Sajid Cheema (Saudi),2019-2021,11,11,0,225,52,20.45,204,110.29,0,1,1,20,11
441,MN van Wyk (SA),2007-2015,8,7,1,225,114*,37.50,157,143.31,1,1,0,19,14
442,CAK Walton (WI),2014-2018,19,17,0,225,40,13.23,203,110.83,0,0,5,23,11
443,PD Hennessy (ESP),2019-2021,13,11,1,223,71,22.30,197,113.19,0,2,2,13,9
444,T Manders (BMUDA),2021-2021,6,6,0,223,84,37.16,185,120.54,0,1,0,23,7
445,Sompal Kami (NEPAL),2014-2022,37,22,7,222,40,14.80,195,113.84,0,0,1,17,8
446,A Ferguson (Arg),2019-2021,11,9,3,221,86*,36.83,217,101.84,0,2,1,21,3
447,RK Paudel (NEPAL),2019-2022,16,15,2,220,51,16.92,185,118.91,0,1,0,20,3
448,AD Poynter (IRE),2012-2016,19,14,3,219,57,19.90,184,119.02,0,1,1,21,8
449,Tanwir Afzal (HKG),2014-2016,21,18,2,219,56,13.68,173,126.58,0,1,4,9,15
450,Sher Sahak (NOR),2021-2022,9,9,2,217,70*,31.00,146,148.63,0,1,0,15,14
451,TT Bresnan (ENG),2006-2014,34,22,9,216,47*,16.61,170,127.05,0,0,3,16,6
452,Mahedi Hasan (BAN),2018-2022,31,23,6,216,30*,12.70,211,102.36,0,0,5,13,8
453,DO Obuya (KENYA),2007-2012,10,10,2,216,65*,27.00,228,94.73,0,2,1,22,4
454,CN Onwuzulike (NGA),2019-2021,15,15,1,216,54,15.42,214,100.93,0,1,2,15,8
455,MJG Rippon (NED),2013-2018,18,11,4,216,42,30.85,192,112.50,0,0,2,15,3
456,KMDN Kulasekara (SL),2008-2017,58,30,9,215,31,10.23,184,116.84,0,0,4,14,7
457,SS McKechnie (HKG),2019-2020,19,17,7,215,44,21.50,223,96.41,0,0,2,14,2
458,Mohamed Arief (MAL),2019-2020,12,11,2,215,52*,23.88,171,125.73,0,1,0,23,5
459,EMDY Munaweera (SL),2012-2017,13,13,1,215,53,17.91,164,131.09,0,1,1,25,7
460,LA Dunbar (SRB),2019-2021,6,6,2,214,104*,53.50,127,168.50,1,1,2,15,19
461,S Prasanna (SL),2013-2017,20,20,6,214,37*,15.28,161,132.91,0,0,0,13,13
462,RG Aga (KENYA),2008-2013,20,18,2,213,52*,13.31,196,108.67,0,1,0,15,5
463,DA Blignaut (GER),2021-2022,16,15,2,213,47*,16.38,240,88.75,0,0,1,12,8
464,Aaron Jones (USA),2019-2021,14,12,6,211,50,35.16,194,108.76,0,1,0,12,7
465,Anwar Arudin (MAL),2019-2021,21,21,0,211,32,10.04,207,101.93,0,0,5,24,7
466,O Harvey (Ghana),2021-2021,11,9,2,211,54*,30.14,185,114.05,0,1,0,25,3
467,MWR Stokes (GUE),2019-2022,13,11,2,211,29,23.44,234,90.17,0,0,0,19,0
468,Haris Sohail (PAK),2013-2019,14,13,2,210,52,19.09,204,102.94,0,2,1,16,3
469,CA Ingram (SA),2010-2012,9,9,1,210,78,26.25,162,129.62,0,1,1,23,7
470,M Shumba (ZIM),2020-2021,12,10,4,210,66*,35.00,172,122.09,0,1,0,13,10
471,MNM Aslam (KUW),2019-2021,15,9,2,209,55,29.85,199,105.02,0,1,1,19,4
472,R Rohan (SGP),2019-2020,13,12,0,209,49,17.41,175,119.42,0,0,2,25,6
473,Ghulam Shabber (UAE),2016-2019,17,14,3,208,58*,18.90,182,114.28,0,1,0,24,4
474,BMAJ Mendis (SL),2011-2018,22,15,4,207,43*,18.81,174,118.96,0,0,1,18,6
475,RM Siri (Arg),2019-2021,10,10,2,206,49*,25.75,203,101.47,0,0,1,17,2
476,DL Vettori (NZ),2007-2014,34,22,6,205,38,12.81,190,107.89,0,0,3,14,2
477,Najjam Shahzad (PORT),2019-2021,8,7,3,204,53*,51.00,143,142.65,0,1,0,8,17
478,JM Kemp (SA),2005-2007,8,7,3,203,89*,50.75,160,126.87,0,1,0,17,10
479,DS Smith (WI),2007-2009,6,6,0,203,61,33.83,161,126.08,0,2,0,22,5
480,R Gunasekera (CAN),2012-2013,8,8,0,202,65,25.25,188,107.44,0,1,0,23,4
481,A Otwani (UGA),2019-2022,17,16,0,202,44,12.62,198,102.02,0,0,4,25,3
482,J Botha (SA),2006-2012,40,20,9,201,34,18.27,165,121.81,0,0,1,15,9
483,P Mishra (BUL),2019-2021,22,20,1,201,53,10.57,164,122.56,0,1,2,16,14
484,F Akankwasa (UGA),2020-2022,27,16,4,200,66,16.66,151,132.45,0,1,1,18,10
485,Mosaddek Hossain (BAN),2016-2021,16,15,5,200,34*,20.00,189,105.82,0,0,1,11,6
486,S Pokhriyal (CZK-R),2019-2020,9,9,1,200,79,25.00,186,107.52,0,1,1,31,3
487,DM Gondaria (KENYA),2013-2019,11,9,2,199,85*,28.42,157,126.75,0,1,0,12,6
488,TK Musakanda (ZIM),2018-2021,12,12,0,197,43,16.41,164,120.12,0,0,2,17,4
489,R Nehonde (BOT),2019-2021,11,11,1,197,63,19.70,208,94.71,0,1,1,18,1
490,Abdul-Shakoor Rahimzei (GER),2019-2021,17,15,1,196,59,14.00,207,94.68,0,1,2,17,3
491,R Escobar (Arg),2019-2021,11,9,3,196,55,32.66,208,94.23,0,1,0,15,2
492,Mohammad Saifuddin (BAN),2017-2021,29,17,6,196,39*,17.81,170,115.29,0,0,2,16,7
493,Sohail Tanvir (PAK),2007-2017,57,25,8,196,41,11.52,164,119.51,0,0,2,16,9
494,RN Patel (KENYA),2019-2021,15,14,3,195,26,17.72,167,116.76,0,0,3,23,2
495,Fawad Alam (PAK),2007-2010,24,17,6,194,28,17.63,169,114.79,0,0,1,7,7
496,K Mendon (CZK-R),2019-2021,17,13,7,194,45*,32.33,183,106.01,0,0,0,14,5
497,KH Prajapati (OMA),2021-2022,11,10,2,194,74*,24.25,175,110.85,0,2,2,18,6
498,M Spoors (CAN),2022-2022,5,5,2,194,108*,64.66,141,137.58,1,1,1,24,5
499,Asad Shafiq (PAK),2010-2012,10,10,0,192,38,19.20,185,103.78,0,0,0,19,2
500,V Ganesan (GER),2019-2022,24,18,4,192,30,13.71,229,83.84,0,0,0,6,0
501,Mukhtar Ahmed (PAK),2015-2015,6,6,0,192,83,32.00,134,143.28,0,2,0,23,5
502,Sulaiman Ali (BUL),2020-2021,14,14,0,192,40,13.71,160,120.00,0,0,1,18,9
503,Faisal Mubashir (GER),2021-2022,11,10,2,190,45*,23.75,199,95.47,0,0,1,14,4
504,M Simpson-Parker (Aut),2019-2021,10,8,1,190,65*,27.14,160,118.75,0,2,2,11,6
505,Yusuf Ebrahim (PNM),2019-2021,9,9,1,190,72,23.75,163,116.56,0,1,1,20,5
506,Naseem Khushi (OMA),2017-2022,24,16,2,189,29,13.50,146,129.45,0,0,3,9,12
507,SR Patel (ENG),2011-2013,18,14,2,189,67,15.75,173,109.24,0,1,2,17,5
508,P Baron (Arg),2019-2021,11,9,1,188,66*,23.50,174,108.04,0,1,0,16,5
509,IR Bell (ENG),2006-2014,8,8,1,188,60*,26.85,163,115.33,0,1,0,23,2
510,D Kansonkho (MWI),2019-2021,13,10,0,188,54,18.80,223,84.30,0,1,2,20,1
511,Khushdil Shah (PAK),2019-2022,13,12,4,188,36*,23.50,175,107.42,0,0,0,19,5
512,Zeeshan Khan (MLT),2020-2021,14,13,0,188,47,14.46,172,109.30,0,0,1,19,3
513,Ammad Uddin (BHR),2019-2021,12,11,3,187,41*,23.37,109,171.55,0,0,0,18,11
514,Ehsan Khan (HKG),2016-2020,23,15,8,187,42*,26.71,158,118.35,0,0,1,11,10
515,CD McMillan (NZ),2005-2007,8,7,1,187,57,31.16,117,159.82,0,1,0,8,14
516,AA Onikoyi (NGA),2019-2021,14,13,1,187,49,15.58,197,94.92,0,0,2,16,8
517,SP Patil (UAE),2014-2016,18,13,0,187,37,14.38,218,85.77,0,0,3,16,4
518,ZE Green (NAM),2019-2021,27,21,3,186,26,10.33,212,87.73,0,0,3,13,4
519,Meet Bhavsar (KUW),2019-2021,13,11,2,185,38,20.55,148,125.00,0,0,0,13,6
520,AA Jasani (TAN),2021-2021,6,6,1,185,90*,37.00,152,121.71,0,1,0,15,6
521,K Doriga (PNG),2019-2021,22,16,2,183,46*,13.07,172,106.39,0,0,1,6,6
522,BJ Hodge (AUS),2007-2014,15,11,4,183,36,26.14,144,127.08,0,0,0,9,7
523,Kushal Malla (NEPAL),2019-2022,15,13,4,183,50*,20.33,127,144.09,0,1,2,14,13
524,NN Odhiambo (KENYA),2007-2021,35,25,4,183,41,8.71,195,93.84,0,0,5,18,4
525,Rashid Khan (AFG/ICC),2015-2022,58,29,13,183,33,11.43,154,118.83,0,0,6,11,11
526,DJ Willey (ENG),2015-2021,32,21,8,182,29*,14.00,137,132.84,0,0,1,10,11
527,Fiaz Ahmed (BHR),2019-2021,10,10,3,181,62*,25.85,140,129.28,0,1,2,8,13
528,JS Malhotra (USA),2019-2021,12,10,0,181,38,18.10,155,116.77,0,0,0,17,5
529,Raza Iqbal (NOR),2019-2022,13,13,2,181,39,16.45,187,96.79,0,0,0,23,2
530,Sahir Naqash (GER),2019-2021,21,16,7,181,38*,20.11,143,126.57,0,0,4,11,8
531,RA Sealy (Caym),2022-2022,5,5,1,181,73*,45.25,96,188.54,0,1,0,6,15
532,C Tommy (VAN),2019-2019,12,11,0,180,47,16.36,191,94.24,0,0,2,6,8
533,Imran Ali Butt (BHR),2019-2021,12,10,0,179,58,17.90,188,95.21,0,2,4,10,8
534,JP Inglis (AUS),2022-2022,6,6,1,179,48,35.80,123,145.52,0,0,0,18,3
535,CAJ Meschede (GER),2019-2019,5,5,1,179,67,44.75,115,155.65,0,1,1,9,14
536,AR Patwa (TAN),2021-2021,10,10,0,179,36,17.90,140,127.85,0,0,1,19,8
537,Nazimuddin (BAN),2007-2008,7,7,0,178,81,25.42,158,112.65,0,1,2,13,10
538,Sidhant Singh (SGP),2019-2020,11,9,2,178,77,25.42,135,131.85,0,2,1,15,6
539,N Khanna (MLT),2019-2021,14,14,5,177,37*,19.66,128,138.28,0,0,0,18,5
540,J Bulele (MOZ),2019-2021,11,11,0,176,59,16.00,198,88.88,0,1,2,24,0
541,Kaleem Shah (MOZ),2019-2019,7,7,1,176,72*,29.33,170,103.52,0,1,1,21,4
542,Mohammad Naveed (UAE),2015-2019,31,24,10,176,27*,12.57,147,119.72,0,0,3,17,8
543,LPC Silva (SL),2006-2011,16,15,2,175,38,13.46,177,98.87,0,0,0,19,3
544,BS Stephenson (Blz),2019-2021,9,9,1,175,69,21.87,139,125.89,0,1,1,15,11
545,SV Samson (INDIA),2015-2022,13,12,0,174,39,14.50,143,121.67,0,0,1,10,8
546,JT Smuts (SA),2017-2021,13,13,0,174,45,13.38,165,105.45,0,0,1,18,6
547,A Venkatesh (SWE),2021-2021,7,7,0,174,54,24.85,142,122.53,0,1,0,18,1
